#name	name2
XM_011509803.1	SCYL3
XM_006711465.1	SCYL3
XM_017001862.1	SCYL3
XM_017001865.1	SCYL3
XM_011509802.1	SCYL3
XM_017001864.1	SCYL3
XM_024448565.1	SCYL3
XM_011509801.1	SCYL3
XM_017001863.1	SCYL3
XR_001737335.2	SCYL3
XR_001737336.2	SCYL3
XM_017000992.1	DNM3
XM_017000990.2	DNM3
XM_017000988.1	DNM3
XM_017000989.1	DNM3
XM_017000991.1	DNM3
XM_017000985.1	DNM3
XM_017000978.1	DNM3
XM_017000982.2	DNM3
XM_005245079.1	DNM3
XM_017000977.1	DNM3
XM_017000976.1	DNM3
XM_017000984.1	DNM3
XM_017000983.1	DNM3
XM_017000979.1	DNM3
XR_001737107.1	DNM3
XR_001737110.1	DNM3
XR_001737108.1	DNM3
NM_001278252.2	DNM3
NM_001350205.2	DNM3
NM_001136127.3	DNM3
NM_015569.5	DNM3
NM_001350204.2	DNM3
NM_001350206.2	DNM3
NR_146559.2	DNM3
XM_017000986.1	DNM3
XM_017000980.1	DNM3
XR_001737111.1	DNM3
XM_017000987.1	DNM3
NM_022093.2	TNN
XM_017002049.1	TNN
XM_017002048.1	TNN
XM_005245379.2	BRINP2
NM_021165.4	BRINP2
XM_024448722.1	BRINP2
XM_011510167.2	RASAL2
XM_011510166.2	RASAL2
NM_170692.3	RASAL2
XM_017002849.1	RASAL2
XM_017002851.1	RASAL2
XM_017002850.1	RASAL2
XM_017002852.1	RASAL2
XM_017002853.1	RASAL2
NM_001252512.1	SOAT1
NM_001252511.1	SOAT1
XM_011509912.1	SOAT1
NM_003101.6	SOAT1
NR_045530.2	SOAT1
XM_011509911.1	SOAT1
XR_921978.3	ACBD6
XR_921977.3	ACBD6
XR_001737484.2	ACBD6
XR_001737485.2	ACBD6
XR_002957801.1	ACBD6
NM_032360.4	ACBD6
XM_017002245.1	CACNA1E
XM_017002246.1	CACNA1E
XM_017002248.1	CACNA1E
XM_017002244.1	CACNA1E
XM_017002250.1	CACNA1E
XM_017002247.1	CACNA1E
XM_017002249.1	CACNA1E
XM_017002243.1	CACNA1E
XM_017002251.1	CACNA1E
XM_017001193.2	RGSL1
XM_017001191.1	RGSL1
XM_017001192.2	RGSL1
XM_017001189.1	RGSL1
XM_017001194.1	RGSL1
XM_011509504.2	RGSL1
XM_011509503.1	RGSL1
XM_011509500.1	RGSL1
XM_011509494.2	RGSL1
XM_017001188.1	RGSL1
NM_001137669.2	RGSL1
NM_001366934.1	RGSL1
XM_024446727.1	RGSL1
XM_017001197.2	RGSL1
XM_011510208.3	SMG7
XM_005245649.4	SMG7
XM_011510207.3	SMG7
XM_011510206.3	SMG7
XM_011510209.3	SMG7
XM_011510205.3	SMG7
XM_017002970.1	SMG7
XM_017002969.1	SMG7
NM_001174061.2	SMG7
NM_201568.3	SMG7
NM_201569.3	SMG7
NM_173156.3	SMG7
NM_001350222.2	SMG7
NM_001331007.2	SMG7
NM_001350219.2	SMG7
NM_001350221.2	SMG7
NM_001350220.2	SMG7
XM_011510210.2	SMG7
XM_006711678.3	SMG7
XM_005245652.3	SMG7
XM_017002968.2	SMG7
XR_001738340.1	LOC107985239
NR_110793.1	LINC01350
XR_001737811.1	LINC01701
NR_146895.1	LINC01724
NM_018136.5	ASPM
NM_001206846.1	ASPM
NM_133494.3	NEK7
XM_017000348.1	NEK7
XM_017000347.1	NEK7
XM_011509209.1	NEK7
XM_017000346.1	NEK7
XM_017000344.1	NEK7
XM_017000345.1	NEK7
NR_147896.1	LINC02789
NM_002481.4	PPP1R12B
NM_001331029.2	PPP1R12B
NM_001167858.1	PPP1R12B
NM_001167857.1	PPP1R12B
XM_005245206.4	PPP1R12B
XM_017001351.1	PPP1R12B
XM_017001347.1	PPP1R12B
XM_017001346.1	PPP1R12B
XM_017001343.1	PPP1R12B
XM_017001342.1	PPP1R12B
XM_017001348.1	PPP1R12B
XM_017001345.1	PPP1R12B
XM_017001350.1	PPP1R12B
XR_001737202.1	PPP1R12B
XR_001737196.2	PPP1R12B
XR_001737199.1	PPP1R12B
XR_001737201.2	PPP1R12B
XR_001737195.1	PPP1R12B
XR_002956646.1	PPP1R12B
XR_001737200.1	PPP1R12B
XR_001737198.1	PPP1R12B
XR_001737197.1	PPP1R12B
NM_002646.3	PIK3C2B
XR_241085.2	PIK3C2B
XM_017001473.1	PIK3C2B
XM_011509630.2	PIK3C2B
XM_011509631.2	PIK3C2B
XM_017001474.1	PIK3C2B
XM_005245257.2	PIK3C2B
XM_005245258.3	PIK3C2B
XR_241086.1	PIK3C2B
XM_011509633.2	PIK3C2B
XR_001737213.1	CDK18
XR_426779.3	CDK18
XR_426782.4	CDK18
XR_426780.4	CDK18
NM_212502.3	CDK18
NM_212503.3	CDK18
NM_002596.4	CDK18
XR_001737212.2	CDK18
XR_921822.3	CDK18
XM_017001423.2	CDK18
XM_011509602.3	CDK18
XR_426784.3	CDK18
XR_426781.4	CDK18
XR_002956776.1	CDK18
NM_182664.4	RASSF5
NM_182663.4	RASSF5
NM_182665.4	RASSF5
XM_024453287.1	CR1
XM_006711166.2	CR1
XM_011509205.1	CR1
NM_000573.4	CR1
NM_000651.6	CR1
XM_017001246.1	KCNH1
NM_172362.3	KCNH1
NM_002238.4	KCNH1
NM_001320808.2	LPGAT1
NM_014873.3	LPGAT1
XM_011510229.3	LPGAT1
XM_024451298.1	LPGAT1
